_id,BALCONY_GUARDS,CONFIRMED_STOREYS,CONFIRMED_UNITS,ELEVATORS,ENTRANCE_DOORS_WINDOWS,ENTRANCE_LOBBY,EVALUATION_COMPLETED_ON,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,GARBAGE_BIN_STORAGE_AREA,GARBAGE_CHUTE_ROOMS,GRAFFITI,INTERIOR_LIGHTING_LEVELS,INTERIOR_WALL_CEILING_FLOOR,INTERNAL_GUARDS_HANDRAILS,LAUNDRY_ROOMS,NO_OF_AREAS_EVALUATED,OTHER_FACILITIES,PARKING_AREA,PROPERTY_TYPE,RESULTS_OF_SCORE,RSN,SCORE,SECURITY,SITE_ADDRESS,STAIRWELLS,STORAGE_AREAS_LOCKERS,WARD,WATER_PEN_EXT_BLDG_ELEMENTS,YEAR_BUILT,YEAR_REGISTERED
262555,,3.0,21.0,,4.0,3.0,,4.0,4.0,4.0,4.0,,5.0,4.0,4.0,3.0,5.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4156285.0,80.0,4.0,319  THE KINGSWAY  ,4.0,4.0,2,4.0,1956.0,2017.0
262556,4.0,18.0,139.0,4.0,4.0,4.0,11/01/2020,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,20,3.0,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4156293.0,80.0,4.0,111  RIDELLE AVE ,4.0,4.0,8,4.0,1967.0,2017.0
262557,5.0,3.0,37.0,5.0,5.0,5.0,12/02/2019,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,19,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4156294.0,88.0,5.0,90  HEATH ST W,5.0,4.0,12,4.0,1959.0,2017.0
262558,,14.0,162.0,4.0,4.0,5.0,12/09/2019,4.0,4.0,4.0,5.0,,5.0,4.0,4.0,4.0,4.0,16,,,PRIVATE,Evaluation needs to be conducted in 3 years,4156296.0,85.0,5.0,33  HOLLY ST ,4.0,4.0,12,4.0,1963.0,2017.0
262559,,3.0,11.0,,4.0,3.0,11/17/2020,4.0,4.0,3.0,4.0,,5.0,4.0,3.0,4.0,3.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4167788.0,75.0,4.0,25  GLEN EVEREST RD ,3.0,4.0,20,4.0,1971.0,2017.0
262560,,10.0,59.0,3.0,4.0,5.0,12/02/2019,3.0,4.0,4.0,4.0,,5.0,4.0,4.0,4.0,4.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153375.0,80.0,5.0,268  POPLAR PLAINS RD ,4.0,,12,3.0,1959.0,2017.0
262561,,9.0,205.0,,,,,,,,,,,,,,,0,,,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4153389.0,79.0,,110  THE ESPLANADE  ,,,13,,1993.0,2018.0
262562,,12.0,53.0,4.0,4.0,4.0,11/25/2019,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,18,4.0,3.0,TCHC,Evaluation needs to be conducted in 2 years,4153397.0,80.0,5.0,248  SIMCOE ST ,4.0,,10,3.0,1991.0,2017.0
262563,5.0,13.0,118.0,4.0,5.0,4.0,12/02/2019,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,19,,3.0,PRIVATE,Evaluation needs to be conducted in 3 years,4153886.0,92.0,5.0,494  AVENUE RD ,5.0,4.0,12,5.0,1956.0,2017.0
262564,4.0,4.0,45.0,3.0,4.0,4.0,12/04/2020,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,18,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153889.0,80.0,5.0,250  ST CLAIR AVE W,4.0,,12,4.0,1970.0,2017.0
262565,4.0,6.0,54.0,5.0,5.0,4.0,11/28/2019,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,19,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4153897.0,82.0,3.0,55  MONTCLAIR AVE ,4.0,4.0,12,4.0,1960.0,2017.0
262566,,4.0,32.0,4.0,4.0,4.0,12/02/2020,3.0,4.0,4.0,4.0,,5.0,4.0,4.0,4.0,4.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153899.0,79.0,4.0,448  SPADINA RD ,4.0,,12,4.0,1935.0,2017.0
262567,4.0,6.0,36.0,5.0,4.0,4.0,12/02/2020,3.0,3.0,4.0,4.0,,5.0,3.0,4.0,3.0,3.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153900.0,77.0,5.0,340  LONSDALE RD ,4.0,4.0,12,4.0,1957.0,2017.0
262568,3.0,11.0,60.0,5.0,4.0,4.0,12/10/2019,3.0,4.0,3.0,5.0,,5.0,3.0,4.0,4.0,4.0,17,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153913.0,76.0,4.0,5  MALLORY GDNS ,3.0,,12,3.0,1982.0,2017.0
262569,,4.0,12.0,,3.0,3.0,12/10/2020,3.0,3.0,3.0,4.0,,5.0,3.0,3.0,3.0,2.0,14,,,PRIVATE,Evaluation needs to be conducted in 1 year,4153922.0,64.0,4.0,57  LAWTON BLVD ,3.0,,12,3.0,1929.0,2018.0
262570,4.0,4.0,42.0,,3.0,3.0,11/18/2019,4.0,4.0,4.0,4.0,,5.0,4.0,4.0,3.0,3.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154389.0,75.0,5.0,1497  WILSON AVE ,3.0,,6,4.0,1955.0,2017.0
262571,4.0,8.0,81.0,5.0,4.0,4.0,11/18/2019,4.0,4.0,4.0,5.0,3.0,5.0,4.0,3.0,4.0,3.0,19,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154397.0,79.0,5.0,1307  WILSON AVE ,3.0,4.0,6,3.0,1960.0,2017.0
262572,4.0,8.0,85.0,5.0,4.0,3.0,11/18/2019,4.0,4.0,4.0,5.0,3.0,5.0,4.0,3.0,4.0,3.0,18,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154399.0,78.0,5.0,1303  WILSON AVE ,3.0,,6,3.0,1960.0,2017.0
262573,3.0,4.0,41.0,4.0,3.0,3.0,11/18/2019,3.0,3.0,3.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,19,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154411.0,72.0,4.0,2788  KEELE ST ,4.0,3.0,6,3.0,1962.0,2017.0
262574,,3.0,11.0,,3.0,4.0,11/10/2020,3.0,3.0,3.0,4.0,,5.0,3.0,2.0,4.0,2.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154415.0,68.0,4.0,2818  KEELE ST ,3.0,4.0,6,4.0,1972.0,2017.0
262575,4.0,4.0,43.0,3.0,3.0,3.0,11/05/2019,3.0,3.0,4.0,4.0,,5.0,4.0,3.0,5.0,4.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154780.0,76.0,5.0,1063  DON MILLS RD ,4.0,,16,5.0,1960.0,2017.0
262576,4.0,4.0,40.0,4.0,4.0,4.0,11/06/2020,3.0,4.0,3.0,4.0,,5.0,3.0,3.0,4.0,4.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154787.0,76.0,5.0,12  THE DONWAY  E,3.0,4.0,16,4.0,1960.0,2017.0
262577,4.0,4.0,48.0,4.0,4.0,3.0,11/05/2019,4.0,4.0,4.0,4.0,,5.0,4.0,3.0,4.0,4.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154794.0,76.0,4.0,4  OVERLAND DR ,3.0,3.0,16,4.0,1961.0,2019.0
262578,5.0,14.0,198.0,5.0,4.0,4.0,11/18/2019,5.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,19,,5.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154809.0,86.0,4.0,95  HAVENBROOK BLVD ,4.0,4.0,17,5.0,1967.0,2017.0
262579,,3.0,38.0,,5.0,4.0,11/24/2020,4.0,4.0,4.0,3.0,,5.0,3.0,4.0,3.0,3.0,15,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155316.0,76.0,4.0,12  ANGLESEY BLVD ,4.0,,2,4.0,1953.0,2017.0
262580,,4.0,24.0,,2.0,3.0,01/11/2019,3.0,2.0,4.0,4.0,,5.0,4.0,3.0,2.0,3.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 1 year,4155317.0,63.0,4.0,14-16  ANGLESEY BLVD ,2.0,3.0,2,2.0,1958.0,2017.0
262581,,4.0,14.0,,4.0,4.0,12/02/2020,4.0,4.0,5.0,3.0,,5.0,5.0,3.0,3.0,3.0,15,,,PRIVATE,Evaluation needs to be conducted in 2 years,4155324.0,80.0,5.0,2  BEXHILL CRT ,4.0,4.0,2,4.0,1959.0,2017.0
262582,4.0,14.0,96.0,4.0,4.0,4.0,10/29/2019,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,19,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155338.0,75.0,4.0,20  FONTENAY CRT ,2.0,4.0,2,4.0,1966.0,2017.0
262583,4.0,6.0,63.0,4.0,4.0,4.0,10/29/2019,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,19,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155339.0,79.0,4.0,10  FONTENAY CRT ,3.0,4.0,2,4.0,1970.0,2017.0
262584,3.0,9.0,116.0,4.0,4.0,4.0,11/25/2019,3.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,19,4.0,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155710.0,74.0,5.0,55  LISGAR ST ,3.0,,9,2.0,2005.0,2017.0
262585,4.0,7.0,105.0,4.0,4.0,4.0,11/06/2020,4.0,4.0,4.0,3.0,,5.0,4.0,4.0,5.0,4.0,18,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4155928.0,81.0,5.0,41  WARRENDER AVE ,4.0,3.0,2,4.0,1971.0,2017.0
262586,3.0,7.0,103.0,3.0,3.0,3.0,11/06/2020,2.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,19,3.0,3.0,TCHC,Evaluation needs to be conducted in 1 year,4156313.0,61.0,4.0,3171-3181  EGLINTON AVE E,3.0,,20,4.0,1965.0,2017.0
262587,,4.0,16.0,,4.0,3.0,11/24/2020,4.0,4.0,3.0,4.0,,4.0,4.0,3.0,4.0,4.0,15,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4156597.0,75.0,3.0,4  KINGSTON RD ,4.0,,19,4.0,1970.0,2017.0
262588,4.0,10.0,84.0,4.0,4.0,4.0,01/10/2018,4.0,4.0,4.0,4.0,3.0,5.0,2.0,4.0,3.0,3.0,19,4.0,4.0,TCHC,Evaluation needs to be conducted in 2 years,4156601.0,74.0,4.0,1  OAK ST ,2.0,,13,4.0,2010.0,2017.0
262589,,3.0,14.0,,4.0,3.0,12/10/2020,4.0,5.0,5.0,4.0,,5.0,4.0,4.0,4.0,3.0,16,,5.0,PRIVATE,Evaluation needs to be conducted in 3 years,4156611.0,84.0,5.0,2844  BLOOR ST W,4.0,4.0,3,4.0,1955.0,2017.0
262590,5.0,6.0,94.0,3.0,4.0,4.0,10/31/2019,4.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,3.0,19,,3.0,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4152926.0,72.0,3.0,1624  BLOOR ST W,4.0,3.0,4,4.0,1992.0,2017.0
262591,,4.0,16.0,,3.0,3.0,10/31/2019,3.0,4.0,3.0,4.0,,5.0,3.0,3.0,3.0,3.0,15,,,PRIVATE,Evaluation needs to be conducted in 2 years,4152938.0,68.0,5.0,1942  BLOOR ST W,3.0,3.0,4,3.0,1940.0,2017.0
262592,,3.0,10.0,,,,,,,,,,,,,,,0,,,PRIVATE,Evaluation needs to be conducted in 1 year,4152943.0,55.0,,340  HIGH PARK AVE ,,,4,,1940.0,2017.0
262593,,3.0,19.0,,4.0,4.0,12/20/2020,4.0,4.0,3.0,3.0,,5.0,4.0,4.0,4.0,4.0,15,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153436.0,80.0,5.0,95  PEMBROKE ST ,4.0,,13,4.0,1885.0,2017.0
262594,4.0,4.0,24.0,,4.0,5.0,11/16/2020,4.0,4.0,4.0,4.0,,5.0,4.0,4.0,4.0,4.0,15,,,PRIVATE,Evaluation needs to be conducted in 3 years,4153437.0,81.0,4.0,181-183  GERRARD ST E,3.0,,13,4.0,1902.0,
262595,,3.0,11.0,,4.0,5.0,01/08/2019,4.0,4.0,4.0,5.0,,4.0,5.0,5.0,4.0,5.0,15,,3.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154425.0,88.0,5.0,2852  KEELE ST ,5.0,,6,4.0,1945.0,2017.0
262596,5.0,3.0,61.0,,4.0,4.0,10/14/2020,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,17,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154451.0,86.0,5.0,117  WHITBURN CRES ,4.0,,6,3.0,1977.0,2017.0
262597,4.0,7.0,181.0,3.0,4.0,4.0,11/07/2019,4.0,3.0,4.0,3.0,3.0,5.0,3.0,3.0,4.0,4.0,19,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154457.0,69.0,3.0,1450  SHEPPARD AVE W,3.0,3.0,6,3.0,1968.0,2017.0
262598,3.0,9.0,92.0,3.0,3.0,3.0,10/28/2020,4.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,4.0,4.0,19,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154463.0,68.0,3.0,3710  KEELE ST ,4.0,2.0,7,4.0,1972.0,2017.0
262599,4.0,13.0,155.0,4.0,4.0,4.0,12/16/2020,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,18,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154841.0,80.0,4.0,10  RUDDINGTON DR ,4.0,,17,4.0,1967.0,2017.0
262600,5.0,13.0,175.0,5.0,5.0,5.0,11/06/2019,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,20,5.0,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154842.0,94.0,5.0,505  CUMMER AVE ,4.0,4.0,17,5.0,1967.0,2017.0
262601,5.0,18.0,179.0,4.0,5.0,5.0,11/06/2019,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,20,4.0,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154844.0,90.0,5.0,60  RUDDINGTON DR ,4.0,4.0,17,4.0,1966.0,2017.0
262602,5.0,6.0,49.0,5.0,4.0,4.0,10/28/2019,5.0,5.0,5.0,4.0,,5.0,5.0,4.0,4.0,5.0,18,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4155370.0,90.0,4.0,290  DIXON RD ,4.0,4.0,1,5.0,1968.0,2017.0
262603,,8.0,77.0,,,,,,,,,,,,,,,0,,,PRIVATE,Evaluation needs to be conducted in 2 years,4155373.0,75.0,,340  THE EAST MALL  ,,,2,,1966.0,2017.0
262604,,5.0,84.0,4.0,5.0,5.0,12/10/2020,5.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,5.0,17,5.0,,SOCIAL HOUSING,Evaluation needs to be conducted in 3 years,4155766.0,88.0,5.0,552  ADELAIDE ST W,4.0,,10,4.0,2005.0,2017.0
262605,,11.0,112.0,4.0,5.0,4.0,12/03/2019,5.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,19,4.0,4.0,SOCIAL HOUSING,Evaluation needs to be conducted in 3 years,4155931.0,85.0,5.0,490  SHERBOURNE ST ,4.0,5.0,13,5.0,2008.0,2017.0
262606,5.0,7.0,74.0,5.0,5.0,5.0,11/18/2019,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,20,5.0,5.0,PRIVATE,Evaluation needs to be conducted in 3 years,4156642.0,99.0,5.0,1751  SHEPPARD AVE E,5.0,5.0,17,5.0,2010.0,2017.0
262607,4.0,10.0,93.0,5.0,4.0,5.0,11/04/2019,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,19,,3.0,PRIVATE,Evaluation needs to be conducted in 3 years,4152967.0,91.0,5.0,118  TYNDALL AVE ,5.0,4.0,4,5.0,1965.0,2017.0
262608,4.0,9.0,69.0,4.0,4.0,4.0,11/04/2019,4.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,19,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4152973.0,77.0,5.0,60  TYNDALL AVE ,3.0,3.0,4,4.0,1959.0,2017.0
262609,,11.0,136.0,4.0,4.0,4.0,11/04/2019,4.0,4.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,19,4.0,4.0,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4152978.0,79.0,5.0,1355  KING ST W,4.0,4.0,4,4.0,1976.0,2017.0
262610,,7.0,118.0,,,,,,,,,,,,,,,0,,,PRIVATE,Building Audit,4152983.0,44.0,,109  JAMESON AVE ,,,4,,1968.0,2017.0
262611,5.0,5.0,24.0,3.0,3.0,3.0,10/29/2019,4.0,4.0,4.0,4.0,,5.0,4.0,3.0,3.0,3.0,17,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155395.0,75.0,5.0,500  THE WEST MALL  ,3.0,,2,4.0,1969.0,2018.0
262612,5.0,19.0,225.0,4.0,4.0,4.0,10/29/2019,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,19,5.0,3.0,PRIVATE,Evaluation needs to be conducted in 3 years,4155398.0,83.0,5.0,340  MILL RD ,4.0,,2,4.0,1974.0,2017.0
262613,5.0,7.0,90.0,4.0,3.0,4.0,11/12/2020,5.0,4.0,4.0,3.0,,5.0,3.0,4.0,3.0,4.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155401.0,77.0,4.0,535  THE EAST MALL  ,4.0,3.0,2,4.0,1969.0,2017.0
262614,3.0,16.0,178.0,,3.0,3.0,12/01/2020,4.0,3.0,3.0,3.0,,5.0,4.0,3.0,3.0,3.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155409.0,68.0,4.0,20  REDGRAVE DR ,3.0,,1,4.0,1968.0,2017.0
262615,3.0,3.0,45.0,,4.0,3.0,11/29/2020,3.0,3.0,3.0,3.0,,5.0,3.0,3.0,3.0,,15,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155412.0,67.0,3.0,80  BLACKFRIAR AVE ,3.0,,1,4.0,1962.0,2017.0
262616,3.0,5.0,61.0,4.0,5.0,5.0,12/02/2020,4.0,4.0,4.0,3.0,,5.0,5.0,5.0,3.0,4.0,17,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4155414.0,84.0,5.0,55  BRIDESBURG DR ,4.0,,1,4.0,1965.0,2017.0
262617,3.0,16.0,194.0,4.0,3.0,3.0,01/24/2019,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,20,4.0,2.0,PRIVATE,Evaluation needs to be conducted in 1 year,4155778.0,64.0,3.0,775  STEELES AVE W,3.0,3.0,18,3.0,1966.0,2017.0
262618,3.0,7.0,221.0,4.0,3.0,3.0,10/20/2020,3.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,4.0,3.0,18,,3.0,TCHC,Evaluation needs to be conducted in 2 years,4155782.0,70.0,4.0,101  KENDLETON DR ,3.0,,1,4.0,1965.0,2017.0
262619,3.0,6.0,58.0,5.0,4.0,4.0,12/15/2020,4.0,3.0,4.0,3.0,,5.0,4.0,4.0,4.0,4.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155783.0,79.0,5.0,101  MARLEE AVE ,4.0,4.0,8,4.0,1955.0,2017.0
262620,,3.0,10.0,,3.0,3.0,12/01/2020,3.0,3.0,4.0,4.0,,5.0,3.0,3.0,3.0,2.0,15,,,PRIVATE,Evaluation needs to be conducted in 1 year,4155805.0,64.0,3.0,1625-1641  KINGSTON RD ,3.0,3.0,20,3.0,1950.0,2017.0
262621,4.0,12.0,162.0,4.0,4.0,2.0,10/28/2019,4.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,19,,4.0,TCHC,Evaluation needs to be conducted in 2 years,4155813.0,76.0,4.0,2063  ISLINGTON AVE ,4.0,3.0,1,4.0,1973.0,2017.0
262622,,4.0,28.0,,,,,,,,,,,,,,,0,,,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4155977.0,66.0,,37  DURNFORD RD ,,,25,,1992.0,2018.0
262623,4.0,3.0,180.0,,4.0,4.0,11/29/2019,3.0,4.0,3.0,4.0,,5.0,4.0,3.0,4.0,3.0,17,4.0,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155978.0,75.0,4.0,47  GENERATION BLVD ,4.0,,25,4.0,1975.0,2017.0
262624,5.0,7.0,129.0,5.0,4.0,5.0,12/09/2019,5.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,19,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4156383.0,92.0,5.0,106  GOODWOOD PARK CRT ,5.0,5.0,19,5.0,1961.0,2017.0
262625,5.0,10.0,155.0,4.0,5.0,5.0,10/28/2020,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,20,5.0,4.0,TCHC,Evaluation needs to be conducted in 3 years,4156706.0,93.0,5.0,230  SACKVILLE ST ,4.0,4.0,13,5.0,2013.0,2017.0
262626,3.0,3.0,17.0,,3.0,3.0,11/04/2020,2.0,3.0,2.0,3.0,,3.0,4.0,3.0,3.0,2.0,15,,,PRIVATE,Evaluation needs to be conducted in 1 year,4153001.0,60.0,5.0,120  DOWLING AVE ,3.0,,4,3.0,1900.0,2017.0
262627,,3.0,25.0,,4.0,3.0,12/10/2020,4.0,3.0,4.0,4.0,,5.0,3.0,3.0,4.0,4.0,15,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153006.0,75.0,5.0,70  WILSON PARK RD ,3.0,,4,4.0,1970.0,2017.0
262628,,5.0,48.0,4.0,4.0,3.0,11/04/2019,4.0,4.0,4.0,4.0,,5.0,4.0,3.0,4.0,3.0,17,4.0,,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4153030.0,78.0,5.0,149  JAMESON AVE ,3.0,4.0,4,4.0,1910.0,2017.0
262629,5.0,18.0,102.0,4.0,5.0,5.0,12/03/2019,4.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,20,4.0,3.0,PRIVATE,Evaluation needs to be conducted in 3 years,4153501.0,84.0,5.0,100  MAITLAND ST ,4.0,4.0,13,4.0,1965.0,2017.0
262630,3.0,3.0,10.0,,4.0,3.0,11/03/2020,4.0,4.0,3.0,3.0,,5.0,4.0,3.0,4.0,4.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153997.0,75.0,5.0,875  AVENUE RD ,4.0,,12,3.0,1950.0,2018.0
262631,3.0,3.0,21.0,,4.0,3.0,11/17/2020,4.0,3.0,4.0,4.0,,5.0,4.0,3.0,4.0,3.0,17,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154003.0,75.0,5.0,486  ORIOLE PKWY ,3.0,4.0,12,4.0,1930.0,2017.0
262632,5.0,4.0,40.0,4.0,5.0,4.0,11/27/2019,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,19,,3.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154005.0,86.0,5.0,990  AVENUE RD ,4.0,4.0,12,4.0,1965.0,2017.0
262633,,4.0,21.0,,4.0,4.0,10/28/2020,3.0,3.0,4.0,4.0,,5.0,3.0,4.0,4.0,4.0,15,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154009.0,76.0,4.0,107  ROSELAWN AVE ,4.0,,8,4.0,1954.0,2017.0
262634,,3.0,17.0,,4.0,4.0,11/23/2020,3.0,4.0,3.0,4.0,,5.0,4.0,3.0,4.0,4.0,15,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154015.0,77.0,4.0,80  CASTLEFIELD AVE ,4.0,,8,4.0,1955.0,2017.0
262635,5.0,12.0,272.0,4.0,4.0,4.0,11/20/2019,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,19,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154025.0,85.0,5.0,3000  YONGE ST ,4.0,5.0,8,4.0,1955.0,2017.0
262636,,3.0,26.0,,4.0,3.0,11/20/2019,4.0,4.0,4.0,5.0,,5.0,3.0,3.0,4.0,3.0,15,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154029.0,76.0,5.0,41  LORINDALE AVE ,3.0,,8,4.0,1957.0,2017.0
262637,,3.0,12.0,,,,,,,,,,,,,,,0,,,PRIVATE,Evaluation needs to be conducted in 1 year,4154514.0,65.0,,50  NEPTUNE DR ,,,8,,1960.0,2017.0
262638,4.0,3.0,12.0,,4.0,3.0,11/17/2020,3.0,4.0,4.0,4.0,,4.0,4.0,3.0,4.0,3.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154523.0,71.0,1.0,20  HOTSPUR RD ,4.0,,8,4.0,1956.0,2017.0
262639,4.0,3.0,10.0,,4.0,4.0,11/17/2020,4.0,4.0,4.0,3.0,,5.0,4.0,4.0,4.0,4.0,17,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154525.0,80.0,4.0,24  HOTSPUR RD ,4.0,4.0,8,4.0,1952.0,2017.0
262640,4.0,3.0,12.0,,4.0,4.0,11/19/2020,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,3.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154526.0,75.0,1.0,26  HOTSPUR RD ,4.0,,8,4.0,1957.0,2017.0
262641,4.0,15.0,171.0,4.0,4.0,4.0,12/01/2020,3.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,20,4.0,2.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154534.0,79.0,5.0,125  NEPTUNE DR ,4.0,3.0,8,3.0,1974.0,2017.0
262642,,3.0,12.0,,4.0,4.0,12/02/2020,3.0,4.0,4.0,3.0,,5.0,4.0,3.0,4.0,4.0,15,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154536.0,77.0,5.0,110  RAJAH ST ,4.0,,8,4.0,1957.0,2017.0
262643,5.0,3.0,12.0,,4.0,4.0,12/02/2020,4.0,4.0,3.0,3.0,,5.0,4.0,3.0,4.0,3.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154539.0,79.0,5.0,102  RAJAH ST ,4.0,,8,4.0,1960.0,2018.0
262644,4.0,3.0,11.0,,4.0,5.0,12/03/2019,3.0,4.0,3.0,4.0,,5.0,4.0,4.0,5.0,4.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154541.0,83.0,5.0,65  WASDALE CRES ,5.0,,8,3.0,1956.0,2020.0
262645,4.0,4.0,61.0,5.0,5.0,4.0,12/09/2020,4.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,18,,5.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154891.0,96.0,5.0,2  SWIFT DR ,5.0,5.0,16,4.0,1958.0,2017.0
